Authors,Title,Year,Link,DOI,SuggestedInclusion1,SuggestedInclusion2,derived decision,FinalDecision
,Harmonizing textual and graphical visualizations of domain specific models,NA,https://dl.acm.org/doi/abs/10.1145/2489820.2489823?casa_toke…maLhybX62a3rjLQeLQaIa-jvIcpwlch_BJ186uLPFVFIO2h0fqoxQincF1mA,,2. MAYBE,3. YES,3. YES,3. YES
,Deadlock detection in complex software systems specified through graph transformation using Bayesian optimization algorithm,NA,https://www.sciencedirect.com/science/article/pii/S0164121217301061,,1. NO,1. NO,1. NO,1. NO
,Multi-formalism modelling and model execution,NA,https://www.tandfonline.com/doi/abs/10.1080/1206212X.2009.11441941,,1. NO,1. NO,1. NO,1. NO
,On the execution of deep models,NA,https://pdfs.semanticscholar.org/f4dd/c6b5efe768c0ea3e95448eb81c3c90fd774c.pdf,,1. NO,1. NO,1. NO,1. NO
,Graph layout for domain-specific modeling,NA,http://msdl.cs.mcgill.ca/people/denis/atom3layout/files/DenisThesisTwoSideBook.pdf,,1. NO,1. NO,1. NO,1. NO
,Conversión de Esquemas Preconceptuales a diagrama de casos de uso empleando AToM3,NA,https://www.redalyc.org/pdf/496/49615315.pdf,,1. NO,1. NO,1. NO,1. NO
,Towards a unified notation to represent model transformation,NA,https://hal.inria.fr/inria-00145204/,,1. NO,1. NO,1. NO,1. NO
,Transformation of UML interaction diagrams into contract specifications for object-oriented testing,NA,https://ieeexplore.ieee.org/abstract/document/4413576/?casa_…PJduBCEYEnQF_HsgndZ_VzF_TC_nKCzMeoDt2CXPAAaw3X5bJAdZ5WlLyBeI,,1. NO,1. NO,1. NO,1. NO
,Multilevel coupled model transformations for precise and reusable definition of model behaviour,NA,https://www.sciencedirect.com/science/article/pii/S2352220817300585,,1. NO,1. NO,1. NO,1. NO
,DesignDEVS: reinforcing theoretical principles in a practical and lightweight simulation environment,NA,https://ieeexplore.ieee.org/abstract/document/7918808/,,1. NO,1. NO,1. NO,1. NO
,Behavioural interoperability to support model-driven systems integration,NA,https://dl.acm.org/doi/abs/10.1145/1866272.1866285?casa_toke…9zR8Ay5Xd5mcwhVA9phSQt4_EPReXrNT4qtNCU-eMt5LM9Mpw2jTJh2y0TJQ,,1. NO,1. NO,1. NO,1. NO
,Conversión de diagramas de procesos en diagramas de casos de usos usando AToM3,NA,https://www.redalyc.org/pdf/496/49614608.pdf,,1. NO,1. NO,1. NO,1. NO
,Model-based integration technology for next generation electric grid simulations,NA,https://ieeexplore.ieee.org/abstract/document/6345323/?casa_…xUUHRu6thkT4dZRAhRBW4LJCYFCWTMasL6mKJVfc5BVm1whC6bbuZDQ7fa34,,1. NO,1. NO,1. NO,1. NO
,A model-driven approach to scenario-based requirements engineering,NA,http://atom3.cs.mcgill.ca/people/simon/publications/thesis_singlesided.pdf,,1. NO,1. NO,1. NO,1. NO
,OD i M: A Model-Driven Approach To Agent-Based Simulation.,NA,http://www.scs-europe.net/conf/ecms2009/ecms2009%20CD/ecms2009%20accepted%20papers/abs_0068_18a0baf5.pdf,,1. NO,1. NO,1. NO,1. NO
,Visual simple transformations: empowering end-users to wire internet of things objects,NA,https://dl.acm.org/doi/abs/10.1145/3057857?casa_token=EWNZ-P…RD4PUT2WSNQFhkoJwQHyWw4TIRRK5izvRTAFVTK7vjAVdgOBimTTSf1z7xaw,,1. NO,1. NO,1. NO,1. NO
,Towards Inconsistency Tolerance by Quantification of Semantic Inconsistencies.,NA,http://ceur-ws.org/Vol-1717/paper8.pdf,,1. NO,1. NO,1. NO,1. NO
,Syntax definition with graphs,NA,https://www.sciencedirect.com/science/article/pii/S1571066106000417,,1. NO,1. NO,1. NO,1. NO
,Model-based dependability evaluation of complex critical control systems,NA,http://www.academia.edu/download/41614698/the_simulation_of_anomalies_in_the_functional_testing_of_the.pdf,,1. NO,1. NO,1. NO,1. NO
,A Graphical Environment for Petri Nets INA Tool Based on Meta-Modelling and Graph Grammars,NA,https://pdfs.semanticscholar.org/b93d/2ae6863e654a62338ad858e0d472e4e55162.pdf,,1. NO,1. NO,1. NO,1. NO
,Co-simulation of cyber-physical systems using a DEVS wrapping strategy in the MECSYCO middleware,NA,https://journals.sagepub.com/doi/abs/10.1177/003754971774901…RMTo9I_gNy-FwRL9PCDkBSvOYukNRUQOzPrAhzudNgNCG20a82pbVy4XUz9Q,,1. NO,1. NO,1. NO,1. NO
,A technique for symbolically verifying properties of graph-based model transformations,NA,https://www.researchgate.net/profile/Bentley_Oakes/publicati…erifying-Properties-of-Graph-based-Model-Transformations.pdf,,1. NO,1. NO,1. NO,1. NO
,Component sizing for multi-source renewable energy systems,NA,https://ieeexplore.ieee.org/abstract/document/5195784/?casa_…3wlANi52raZeE3n2N_0-Wf7RUjvQXtwryYNz8pVEeMSYLepKOaqoLpeUK6ng,,1. NO,1. NO,1. NO,1. NO
,Linking abstract analysis to concrete design: A hierarchical approach to verify medical cps safety,NA,https://ieeexplore.ieee.org/abstract/document/6843718/?casa_…4Ak-SnGroB-r4RPsar46UB_AVCB2cPgfi6O2LbrtPqoT-9arfc35MNLPzrig,,1. NO,1. NO,1. NO,1. NO
,Advanced techniques for the implementation of model transformation systems,NA,https://repozitorium.omikk.bme.hu/bitstream/handle/10890/754/ertekezes.pdf?sequence=1,,1. NO,1. NO,1. NO,1. NO
,Extending local context-based specifications of visual languages,NA,https://www.sciencedirect.com/science/article/pii/S1045926X15000701,,1. NO,1. NO,1. NO,1. NO
,A parameterized model transformations approach for automating middleware QoS configurations in distributed real-time and embedded systems,NA,https://dl.acm.org/doi/abs/10.1145/1314483.1314487?casa_toke…lImWMCuWHVHiwY9U8S8cPmkmPc9S11gVXZ2sF5WwrPGXJ8GKdR4eUhwHFuKQ,,1. NO,1. NO,1. NO,1. NO
,Towards generating domain-specific model editors with complex editing commands,NA,https://www.mathematik.uni-marburg.de/~swt/Publikationen_Taentzer/Tae06.pdf,,1. NO,1. NO,1. NO,1. NO
,View-based near real-time collaborative modeling for information systems engineering,NA,https://link.springer.com/chapter/10.1007/978-3-319-39696-5_1,,1. NO,1. NO,1. NO,1. NO
,A meta-model based approach for definition of a multi-formalism modeling framework,NA,http://www.ijcte.org/papers/121-G606.pdf,,1. NO,1. NO,1. NO,1. NO
,"Designing and enacting cross organisational business processes: a model driven, ontology-based approach.",NA,https://d-nb.info/989390802/34,,1. NO,1. NO,1. NO,1. NO
,Engineering the Dynamic Behavior of Metamodeled Languages,NA,https://journals.sagepub.com/doi/abs/10.1177/0037549709102812,,1. NO,1. NO,1. NO,1. NO
,A relational approach to model transformation using QVT Relations,NA,https://www.researchgate.net/profile/Sreedhar_Reddy7/publica…ation_using_QVT_Relations/links/554a110b0cf2e859ce18b5e0.pdf,,1. NO,1. NO,1. NO,1. NO
,MECSYCO: a Multi-agent DEVS Wrapping Platform for the Co-simulation of Complex Systems,NA,https://hal.inria.fr/hal-01399978/,,1. NO,1. NO,1. NO,1. NO
,Rapid development of scoped user interfaces,NA,https://link.springer.com/chapter/10.1007/978-3-642-02574-7_91,,1. NO,1. NO,1. NO,1. NO
,Specifying and generating editing environments for interactive animated visual models,NA,http://journal.ub.tu-berlin.de/eceasst/article/view/409,,1. NO,1. NO,1. NO,1. NO
,Multi-domain physical system modeling and control based on meta-modeling and graph rewriting,NA,https://ieeexplore.ieee.org/abstract/document/4776626/?casa_…xeUvqgkmkTrsl1qJf8v_mdHqHYzJnHctn_j1OQ6TzdeHFZw5p4Mhk7C5JZYk,,1. NO,1. NO,1. NO,1. NO
,A cooperative-relational approach to digital libraries,NA,https://link.springer.com/chapter/10.1007/978-3-540-74851-9_7,,1. NO,1. NO,1. NO,1. NO
,Model transformations to verify model transformations,NA,http://atom3.cs.mcgill.ca/people/levi/30_publications/files/paper_volt2013.pdf,,1. NO,1. NO,1. NO,1. NO
,Evolution framework for software architecture using graph transformation approach,NA,https://www.researchgate.net/profile/Abdelkrim_Amirat3/publi…H_TRANSFORMATION_APPROACH/links/544aae910cf2bcc9b1d3027e.pdf,,1. NO,1. NO,1. NO,1. NO
,Spectrum-based fault localization in model transformations,NA,https://dl.acm.org/doi/abs/10.1145/3241744?casa_token=0RNGpH…5B0UTJfz9hxmNE_nt5ynWYESlF6sKpghWbegl2DzIbj5YEoCHAc9Oev_yCUQ,,1. NO,1. NO,1. NO,1. NO
,Computations in graph rewriting: inductive types and pullbacks in DPO approach,NA,https://link.springer.com/chapter/10.1007/978-3-642-28038-2_12,,1. NO,1. NO,1. NO,1. NO
,Evaluation of a new algorithm for fault-tolerant clock synchronization,NA,https://www.computer.org/csdl/proceedings-article/rfts/1991/00212968/12OmNzhna9k,,1. NO,1. NO,1. NO,1. NO
,Semantics of visual models in a rule-based setting,NA,https://www.sciencedirect.com/science/article/pii/S1571066106000430,,1. NO,1. NO,1. NO,1. NO
,Practical aspects of the DesignDEVS simulation environment,NA,https://journals.sagepub.com/doi/abs/10.1177/003754971771825…QHysNCFZ1K9X8LZ-Jl6aG2LBn1PdrlgONArmrYLQIQKISmRS5M6gZMW50GXQ,,1. NO,1. NO,1. NO,1. NO
,Designing languages using lightning,NA,https://dl.acm.org/doi/abs/10.1145/2814251.2814268?casa_toke…RCiEDcOLMYbi0Kh4KG-mbb3bv6teVJY7ZeoKmCf-I839BpPvk6xuzpB_TfPg,,1. NO,1. NO,1. NO,1. NO
,What algebraic graph transformations can do for model transformations,NA,http://journal.ub.tu-berlin.de/eceasst/article/download/438/403,,1. NO,1. NO,1. NO,1. NO
,From UML 2.0 Sequence diagrams to PROMELA code by graph transformation using AToM3,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.231.9003&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
,A modelling and simulation based process for dependable systems design,NA,https://idp.springer.com/authorize/casa?redirect_uri=https:/…SIoT1JItfs09XhUX6bgJscswMqWwSQLGtYfjez7H7MiPbLzb7_jPKv3tVP4Q,,1. NO,1. NO,1. NO,1. NO
,A graphical tool support to process and simulate ecatnets models based on meta-modelling and graph grammars,NA,http://infocomp.dcc.ufla.br/index.php/INFOCOMP/article/view/280,,1. NO,1. NO,1. NO,1. NO
,SWN Client-server composition operators in the OsMoSys framework,NA,https://www.computer.org/csdl/proceedings-article/pnpm/2003/19760052/12OmNC4eSmX,,1. NO,1. NO,1. NO,1. NO
,A multi-modeling approach using simulation and optimization for supply-chain network systems,NA,https://acims.asu.edu/wp-content/uploads/2012/02/GaryGodding_Dissertation_Final.pdf,,1. NO,1. NO,1. NO,1. NO
,Lessons learned from building a graph transformation system,NA,https://link.springer.com/chapter/10.1007/978-3-642-17322-6_10,,1. NO,1. NO,1. NO,1. NO
,Model transformation with hierarchical discrete-event control,NA,https://www2.eecs.berkeley.edu/Pubs/TechRpts/2009/EECS-2009-77.pdf,,1. NO,1. NO,1. NO,1. NO
,The ISoS modeling framework for infrastructure systems simulation,NA,https://ieeexplore.ieee.org/abstract/document/7096949/?casa_…y2F-F1tqmRJ0_b7caSAywfMnTrvvfIzL__NDUlmsgndt9wk9HgdlPT34qKt8,,1. NO,1. NO,1. NO,1. NO
,Ambiguity resolution for sketched diagrams by syntax analysis based on graph grammars,NA,http://journal.ub.tu-berlin.de/eceasst/article/view/152,,1. NO,1. NO,1. NO,1. NO
,Integrating refinement into software development tools,NA,https://www.sciencedirect.com/science/article/pii/S1571066108001916,,1. NO,1. NO,1. NO,1. NO
,Using graph transformation to support collaborative ontology evolution,NA,https://link.springer.com/chapter/10.1007/978-3-540-89020-1_4,,1. NO,1. NO,1. NO,1. NO
,Describing Computer Languages,NA,http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.402.7402&rep=rep1&type=pdf,,1. NO,1. NO,1. NO,1. NO
,Visual specification of metrics for domain specific visual languages,NA,https://www.sciencedirect.com/science/article/pii/S157106610800248X,,1. NO,1. NO,1. NO,1. NO
,Checking the Conformance between Models Based on Scenario Synchronization.,NA,http://jucs.org/jucs_16_17/checking_the_conformance_between/jucs_16_17_2293_2312_dang.pdf,,1. NO,1. NO,1. NO,1. NO
,A tutorial on graph transformation,NA,https://link.springer.com/chapter/10.1007/978-3-319-75396-6_5,,1. NO,1. NO,1. NO,1. NO
,Exploiting CloudSim in a multiformalism modeling approach for cloud based systems,NA,https://www.sciencedirect.com/science/article/pii/S1569190X18301436,,1. NO,1. NO,1. NO,1. NO
,"Deep, seamless, multi-format, multi-notation definition and use of domain-specific languages",NA,https://madoc.bib.uni-mannheim.de/42010/,,1. NO,1. NO,1. NO,1. NO
,Tree based domain-specific mapping languages,NA,https://link.springer.com/chapter/10.1007/978-3-642-27660-6_40,,1. NO,1. NO,1. NO,1. NO
,Workflow principles applied to multi-solution analysis of dependable distributed systems,NA,https://ieeexplore.ieee.org/abstract/document/1271438/?casa_…mekoy04g0DxdjAec2-WZl0_nyV3242yHMsMjxAiIWQHXIMdj5rQsHp-FO-R0,,1. NO,1. NO,1. NO,1. NO
,Model transformation using multiobjective optimization,NA,https://www.sciencedirect.com/science/article/pii/B9780124202320000040,,1. NO,1. NO,1. NO,1. NO
,Computer Aided Multi-Paradigm Modelling of Hybrid Systems with AToM,NA,https://www.researchgate.net/profile/Manuel_Alfonseca/publication/245746645_Computer_Aided_Multi-Paradigm_Modelling_of_Hybrid_Systems_with_AToM/links/53e101b20cf2235f35271e07.pdf,,1. NO,1. NO,1. NO,1. NO
,Functional (meta) models for the development of control software,NA,https://www.sciencedirect.com/science/article/pii/S1474667016403083,,1. NO,1. NO,1. NO,1. NO
,A graph transformation approach for testing timed systems,NA,https://link.springer.com/chapter/10.1007/978-3-642-33308-8_11,,1. NO,1. NO,1. NO,1. NO
,Practical insights into model-driven architecture: Lessons from the design and use of an MDA toolkit,NA,https://link.springer.com/chapter/10.1007/3-540-28554-7_18,,1. NO,1. NO,1. NO,1. NO
,Automated MMORPG Testing–An Agent-Based Approach,NA,https://link.springer.com/chapter/10.1007/978-3-319-59930-4_38,,1. NO,1. NO,1. NO,1. NO
,Designing domain specific languages for verification and applications to the railway domain,NA,http://cs.swan.ac.uk/~cspj/wp-content/papercite-data/pdf/james14b.pdf,,1. NO,1. NO,1. NO,1. NO
,Formal support for model driven development with graph transformation techniques,NA,https://repositorio.uam.es/handle/10486/665850,,1. NO,1. NO,1. NO,1. NO
,"SimStudio: une Infrastructure pour la Modélisation, la Simulation et l'Analyse de Systèmes Dynamiques Complexes",NA,https://hal.archives-ouvertes.fr/hal-00679054/,,1. NO,1. NO,1. NO,1. NO
,Layout specification on the concrete and abstract syntax level of a diagram language,NA,http://journal.ub.tu-berlin.de/eceasst/article/view/172,,1. NO,1. NO,1. NO,1. NO
,Statistical model checking of e-Motions domain-specific modeling languages,NA,https://link.springer.com/chapter/10.1007/978-3-662-49665-7_18,,1. NO,1. NO,1. NO,1. NO
,A multi-paradigm energy model for liquid natural gas analysis,NA,https://www.sciencedirect.com/science/article/pii/B9780444532923500043,,1. NO,1. NO,1. NO,1. NO
,Towards the generation of graphical modelling environments aided by patterns,NA,https://link.springer.com/chapter/10.1007/978-3-319-27653-3_16,,1. NO,1. NO,1. NO,1. NO
,Towards the uniform manipulation of visual and textual languages in AToM3,NA,https://repositorio.uam.es/handle/10486/665985,,1. NO,1. NO,1. NO,1. NO
,Multi-formalism modelling and model transformation for the design of reactive systems,NA,https://www.researchgate.net/publication/221113115_Multi-formalism_modelling_and_model_transformation_for_the_design_of_reactive_systems,,1. NO,1. NO,1. NO,1. NO
,"Model-Based Development: Metamodeling, Transformation and Verification",NA,https://www.igi-global.com/chapter/model-based-development/25641,,1. NO,1. NO,1. NO,1. NO
,"Multi-modeling, meta-modeling, and workflow languages",NA,https://www.igi-global.com/chapter/multi-modeling-meta-modeling-and-workflow-languages/91941,,1. NO,1. NO,1. NO,1. NO
,Model Transformation Reuse: A Graph-based Model Typing Approach,NA,https://tel.archives-ouvertes.fr/tel-00816982/,,1. NO,1. NO,1. NO,1. NO
,Using Specification and Description Language to define and implement discrete simulation models,NA,https://upcommons.upc.edu/handle/2117/8341,,1. NO,1. NO,1. NO,1. NO
,Searching for violation of safety and liveness properties using knowledge discovery in complex systems specified through graph transformations,NA,https://www.sciencedirect.com/science/article/pii/S095058491830003X,,1. NO,1. NO,1. NO,1. NO
,Transforming UML2. 0 class diagrams and statecharts to atomic DEVS,NA,https://dl.acm.org/doi/abs/10.5555/2048476.2048504,,1. NO,1. NO,1. NO,1. NO
,Performance analysis of Himesis,NA,https://www.cs.mcgill.ca/~esyria/publications/SOCS-TR-2010.8.pdf,,1. NO,1. NO,1. NO,1. NO
,Model-Driven Development of Digital Libraries: Generating the User Interface.,NA,http://www.academia.edu/download/38440398/paper6.pdf,,1. NO,1. NO,1. NO,1. NO
,Environnement Multi-agent pour la Multi-modélisation et Simulation des Systemes Complexes,NA,https://hal.inria.fr/tel-01752137/,,1. NO,1. NO,1. NO,1. NO
,A runtime analysis of graph-theoretical algorithms to detect patterns in process model collections,NA,https://link.springer.com/chapter/10.1007/978-3-642-36285-9_50,,1. NO,1. NO,1. NO,1. NO
"AE Rizzoli, G Leavesley, JC Ascough II, RM Argent…",Integrated modelling frameworks for environmental assessment and decision support,NA,https://digitalcommons.unl.edu/usgsstaffpub/196/,,1. NO,1. NO,1. NO,1. NO
Q Liu,Distributed optimistic simulation of DEVS and CELL-DEVS models with PCD++,NA,https://curve.carleton.ca/system/files/etd/83c2d526-d73f-44b…c1d/liu-distributedoptimisticsimulationofdevsandcelldevs.pdf,,1. NO,1. NO,1. NO,1. NO
"L Lúcio, H Vangheluwe",Symbolic execution for the verification of model transformations,NA,http://atom3.cs.mcgill.ca/people/levi/30_publications/files/MTSymbExec.pdf,,1. NO,1. NO,1. NO,1. NO
"E Posse, A Muzy, H Vangheluwe",A framework for visual specification and simulation of cellular systems,NA,http://atom3.cs.mcgill.ca/people/eposse/pictures/research/publications/devs06.pdf,,1. NO,1. NO,1. NO,1. NO
"JJ López-Fernández, A Garmendia, E Guerra…",Example-based generation of graphical modelling environments,NA,https://link.springer.com/chapter/10.1007/978-3-319-42061-5_7,,1. NO,1. NO,1. NO,1. NO
M Spönemann,Graph layout support for model-driven engineering,NA,https://books.google.de/books?hl=de&lr=&id=mfN2BwAAQBAJ&oi=fnd&pg=PA1&ots=Azvq6MQToD&sig=QWRDFTTFIA7XZHesGMcG5Hne4-c,,1. NO,1. NO,1. NO,1. NO
T Degueule,Composition and interoperability for external domain-specific language engineering,NA,https://www.theses.fr/2016REN1S093,,1. NO,1. NO,1. NO,1. NO
"L Capocchi, D Federici, H Henao…",Simulation of AC electrical machines behaviour using discrete event system simulator,NA,https://ieeexplore.ieee.org/abstract/document/4374773/?casa_…XpWeCaFveNThBcyf34Tn2EQG1yFTN5R_8TWieXaG4BoEm2wkFW9Y4INBU_c8,,1. NO,1. NO,1. NO,1. NO
